Verb,Route,Method,Renderer,Location,Archive,Endpoint Suffix
POST,/project/<pid>/node/<nid>/figshare/<aid>/,views.crud.figshare_upload,json_renderer,figshare,,
DELETE,/project/<pid>/node/<nid>/figshare/article/<aid>/file/<fid>/,views.crud.figshare_delete_file,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/config/,views.config.figshare_config_get,json_renderer,figshare,,
PUT,/project/<pid>/node/<nid>/figshare/config/,views.config.figshare_config_put,json_renderer,figshare,,
DELETE,/project/<pid>/node/<nid>/figshare/config/,views.config.figshare_deauthorize,json_renderer,figshare,,
PUT,/project/<pid>/node/<nid>/figshare/config/import-auth/,views.config.figshare_import_user_auth,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/download/article/<aid>/file/<fid>/,views.crud.figshare_download_file,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/hgrid/,views.hgrid.figshare_hgrid_data_contents,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/hgrid/<type>/<id>/,views.hgrid.figshare_hgrid_data_contents,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/hgrid/options/,views.config.figshare_get_options,json_renderer,figshare,,
POST,/project/<pid>/node/<nid>/figshare/new/fileset/,views.crud.figshare_create_fileset,json_renderer,figshare,,
POST,/project/<pid>/node/<nid>/figshare/new/project/,views.crud.figshare_create_project,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/oauth,views.auth.figshare_oauth_start,json_renderer,figshare,,
DELETE,/project/<pid>/node/<nid>/figshare/oauth/,views.auth.figshare_oauth_delete_node,json_renderer,figshare,,
DELETE,/project/<pid>/node/<nid>/figshare/project/<project_id>/article/<aid>,views.crud.figshare_remove_article_from_project,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/render/article/<aid>/file/<fid>/,views.crud.figshare_get_rendered_file,json_renderer,figshare,,
POST,/project/<pid>/node/<nid>/figshare/user_auth/,views.auth.figshare_add_user_auth,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/widget/,views.widget.figshare_widget,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/file_paths/,views.list_file_paths,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/files/,project_views.file.collect_file_trees,json_renderer,website,,
GET,/project/<pid>/node/<nid>/files/download/<fid>/,views.download_file,OsfWebRenderer,osffiles,,
GET,/project/<pid>/node/<nid>/files/download/<fid>/version/<vid>/,views.download_file_by_version,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/files/grid/,project_views.file.grid_data,json_renderer,website,,
POST,/project/<pid>/node/<nid>/fork/,project_views.node.node_fork_page,json_renderer,website,,
GET,/project/<pid>/node/<nid>/fork/before/,project_views.node.project_before_fork,json_renderer,website,,
GET,/project/<pid>/node/<nid>/forks/,project_views.node.node_forks,json_renderer,website,,
GET,/project/<pid>/node/<nid>/forward/config/,views.config.forward_config_get,json_renderer,forward,,
PUT,/project/<pid>/node/<nid>/forward/config/,views.config.forward_config_put,json_renderer,forward,,
GET,/project/<pid>/node/<nid>/get_children/,project_views.node.get_children,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_contributors/,project_views.contributor.get_contributors,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_contributors_from_parent/,project_views.contributor.get_contributors_from_parent,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_editable_children/,project_views.node.get_editable_children,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_forks/,project_views.node.get_forks,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_recently_added_contributors/,project_views.contributor.get_recently_added_contributors,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_registrations/,project_views.node.get_registrations,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_summary/,project_views.node.get_summary,json_renderer,website,,
DELETE,/project/<pid>/node/<nid>/github/config/,views.auth.github_oauth_deauthorize_node,json_renderer,github,,
POST,/project/<pid>/node/<nid>/github/file/,views.crud.github_upload_file,json_renderer,github,,
POST,/project/<pid>/node/<nid>/github/file/<path:path>,views.crud.github_upload_file,json_renderer,github,,
DELETE,/project/<pid>/node/<nid>/github/file/<path:path>,views.crud.github_delete_file,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/file/<path:path>/render/,views.crud.github_get_rendered_file,json_renderer,github,,
